region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
31,2,0,2,1,35,5.0,8,1,0,49,0
14,0,1,0,1,30,5.0,4,0,0,60,0
10,0,1,2,1,34,3.0,7,0,0,50,0
15,0,1,0,2,39,1.0,10,0,0,50,0
18,0,1,0,1,45,3.0,2,0,0,73,0
11,0,1,2,2,31,3.0,7,0,0,85,0
12,0,0,0,1,31,3.0,5,0,0,59,0
27,2,1,2,1,33,3.0,6,0,0,63,0
12,0,1,0,1,28,4.0,5,0,0,83,0
0,2,1,2,1,32,5.0,5,1,0,54,0
15,0,1,2,1,30,5.0,1,0,0,77,0
31,0,0,2,1,35,5.0,3,1,0,50,1
28,0,1,2,1,49,5.0,5,1,0,49,0
21,2,1,0,2,39,3.0,16,0,0,80,0
11,2,1,2,1,37,3.0,7,0,0,84,0
31,0,1,0,1,37,1.0,10,0,0,60,0
11,0,1,0,1,38,3.0,5,1,0,77,0
24,0,1,0,1,34,1.0,4,0,0,51,0
24,0,1,0,1,34,5.0,8,1,0,46,0
6,0,1,0,1,37,3.0,9,0,0,59,0
5,0,1,0,1,35,3.0,7,0,0,75,0
6,0,1,2,1,41,4.0,11,0,0,57,0
2,0,0,0,1,28,3.0,4,0,0,63,0
29,0,1,0,1,27,5.0,1,0,0,70,0
14,2,1,2,2,39,5.0,7,0,0,59,0
14,0,1,0,1,27,5.0,3,1,0,83,0
18,0,1,0,1,31,5.0,4,1,0,68,0
18,0,1,0,1,33,4.0,4,0,0,79,0
29,0,1,0,1,29,5.0,3,1,0,80,0
28,0,1,2,1,26,5.0,1,0,0,44,0
6,0,1,2,1,37,5.0,10,1,0,72,0
24,0,1,0,2,26,1.0,2,0,0,61,0
31,0,0,2,1,24,1.0,2,0,0,48,0
11,0,1,2,2,57,4.0,6,0,0,58,0
14,0,1,0,2,27,5.0,3,1,0,87,0
14,0,1,0,1,40,2.0,4,1,0,47,0
20,0,1,2,1,33,4.0,4,1,0,75,0
31,0,0,2,1,40,5.0,3,0,0,47,0
0,2,1,0,1,42,5.0,5,1,0,51,0
20,0,1,2,1,33,5.0,6,1,0,51,1
6,0,1,0,1,34,3.0,10,0,0,80,0
11,0,0,0,2,23,4.0,2,1,0,57,0
11,0,1,2,1,59,4.0,26,1,0,52,0
11,0,1,0,3,24,2.0,2,0,0,48,0
11,0,1,0,1,44,5.0,12,0,0,88,0
8,0,0,2,1,50,5.0,11,0,0,71,0
4,2,0,0,1,37,4.0,4,0,0,71,0
7,0,1,2,1,40,3.0,11,0,0,80,0
12,0,1,2,1,30,3.0,3,1,0,49,0
11,2,0,2,1,56,3.0,12,0,0,73,0
11,0,1,2,1,20,4.0,2,1,0,60,0
17,0,0,2,1,31,3.0,8,0,0,48,0
6,0,1,2,1,40,3.0,12,1,0,65,0
14,0,1,0,1,30,1.0,6,0,0,50,0
14,0,1,0,1,39,3.0,5,1,0,62,0
